ETABLISSEMENTS;TYPE ETABLISSEMENTS;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE FRAIS ETUDES;RECETTE TOTALE;DEPENSES PERSONNEL;DEPENSES NOURRITURE;DEPENSES FRAIS SERVICE;DEPENSES TOTAL;ELEVE INTERNE BOURSE NATIONALE;ELEVE INTERNE BOURSE DEPARTEMENTALE;ELEVE INTERNE BOURSE COMMUNALE;ELEVE INTERNE PENSION LIBRE;ELEVE INTERNE DEMI-PENSIONNAIRE;ELEVE INTERNES TOTAL;ELEVE EXTERNES LIBRE;ELEVE EXTERNES TOTAL;ELEVE CLASSIQUE MATHEMATIQUES ELEMENTAIRE;ELEVE CLASSIQUE PHILOSOPHIE NOUVEAU;ELEVE CLASSIQUE PHILOSOPHIE VETERAN;ELEVE CLASSIQUE RHETORIQUE NOUVEAU;ELEVE CLASSIQUE RHETORIQUE VETERAN;ELEVE EN CLASSIQUE 2;ELEVE EN CLASSIQUE 3;ELEVE EN CLASSIQUE 4;ELEVE EN CLASSIQUE 5;ELEVE EN CLASSIQUE 6;ELEVE EN CLASSIQUE 7;ELEVE EN CLASSIQUE 8;ELEVE CLASSIQUE CLASSE PRIMAIRE;ELEVE CLASSIQUE TOTAL;ELEVE ENSEIGNEMENT SPECIAL 1;ELEVE ENSEIGNEMENT SPECIAL 2;ELEVE ENSEIGNEMENT SPECIAL 3;ELEVE ENSEIGNEMENT SPECIAL 4;ELEVE ENSEIGNEMENT SPECIAL 5;ELEVE ENSEIGNEMENT SPECIAL 6;ELEVE ENSEIGNEMENT SPECIAL TOTAL;ELEVE TOTAL GENERAL
ROMORANTIN;college;2397.5;456.94;1940.5599999999999;2860;28320;16650;7960;1800;26410;2;4;2;11;4;23;56;59;3;0;0;0;0;0;3;5;0;6;0;0;41;17;9;5;7;3;0;0;24;82
SAINT-AMAND;college;2236;456;1780;500;25370;16300;6600;1464;24364;4;1;0;13;0;18;64;70;0;0;0;0;0;0;0;0;6;2;25;0;22;33;13;9;7;4;0;0;33;88
SAINTE-MENEHOULD;college;1288;600;688;7743;34326;18003.330000000002;13210;2232.6300000000001;33446;1;2;0;30;2;35;56;60;5;0;0;0;0;0;0;6;4;5;13;0;17;33;19;12;9;2;2;1;45;95
SANCERRE;college;706;376;330;280;12080;7280;4200;600;12080;0;1;0;6;1;8;12;14;0;0;0;0;0;0;0;0;0;0;0;0;12;0;2;4;4;0;0;0;10;22
SEZANNE;college;2062;892;1170;3700;36600;18800;13000;4700;36500;1;3;0;28;3;35;58;63;9;0;0;0;0;0;0;0;1;5;11;16;20;42;12;15;9;0;0;0;36;98
VITRY-LE-FRANC(G);college;NA;NA;NA;6871.5;9397371;44923.330000000002;25546.349999999999;14660.280000000001;8513096;8;9;0;39;5;65;96;96;3;4;0;4;0;6;8;6;11;11;8;8;44;69;9;16;8;8;6;1;48;161
AJACCIO;college;3842.23;1221;2621.23;16332;145761;78650;45441;14640;138731;49;7;0;87;9;152;367;367;61;6;8;10;4;16;23;24;30;39;40;29;57;290;31;56;42;43;0;0;172;519
ANTIBES;college;1430;340;1090;4050;19960;16600;900;860;18360;4;1;0;1;0;6;68;70;0;0;0;0;0;0;0;0;0;0;0;0;40;0;16;12;5;3;0;0;36;76
APT;college;9900;1638;8262;5410;31490;20190;9810;500;30500;2;0;0;31;3;36;48;48;16;0;0;0;0;0;0;0;0;0;0;0;21;16;22;14;11;0;0;0;47;84
ARLES;college;1957;1307;650;6757;45853;33500;9000;2550;45050;4;1;0;13;4;22;87;97;4;1;1;2;0;2;1;4;3;4;20;19;19;61;9;13;15;0;2;0;39;119
